id	content	sentiment
1	@tiffanylue i know  i was listenin to bad habit earlier and i started freakin at his part =[	empty
2	Layin n bed with a headache  ughhhh...waitin on your call...	sadness
3	Funeral ceremony...gloomy friday...	sadness
4	wants to hang out with friends SOON!	enthusiasm
5	@dannycastillo We want to trade with someone who has Houston tickets, but no one will.	neutral
6	Re-pinging @ghostridah14: why didn't you go to prom? BC my bf didn't like my friends	worry
7	I should be sleep, but im not! thinking about an old friend who I want. but he's married now. damn, &amp; he wants me 2! scandalous!	sadness
8	Hmmm. http://www.djhero.com/ is down	worry
9	@charviray Charlene my love. I miss you	sadness
10	@kelcouch I'm sorry  at least it's Friday?	sadness
11	cant fall asleep	neutral
12	Choked on her retainers	worry
13	Ugh! I have to beat this stupid song to get to the next  rude!	sadness
14	@BrodyJenner if u watch the hills in london u will realise what tourture it is because were weeks and weeks late  i just watch itonlinelol	sadness
15	Got the news	surprise
16	The storm is here and the electricity is gone	sadness
17	@annarosekerr agreed	love
18	So sleepy again and it's not even that late. I fail once again.	sadness
19	@PerezHilton lady gaga tweeted about not being impressed by her video leaking just so you know	worry
20	How are YOU convinced that I have always wanted you? What signals did I give off...damn I think I just lost another friend	sadness
21	@raaaaaaek oh too bad! I hope it gets better. I've been having sleep issues lately too	worry
22	Wondering why I'm awake at 7am,writing a new song,plotting my evil secret plots muahahaha...oh damn it,not secret anymore	fun
23	No Topic Maps talks at the Balisage Markup Conference 2009   Program online at http://tr.im/mL6Z (via @bobdc) #topicmaps	neutral
24	I ate Something I don't know what it is... Why do I keep Telling things about food	worry
25	so tired and i think i'm definitely going to get an ear infection.  going to bed &quot;early&quot; for once.	sadness
26	On my way home n having 2 deal w underage girls drinking gin on da bus while talking bout keggers......damn i feel old	worry
27	@IsaacMascote  i'm sorry people are so rude to you, isaac, they should get some manners and know better than to be so lewd!	sadness
28	Damm servers still down  i need to hit 80 before all the koxpers pass me	worry
29	Fudge.... Just BS'd that whole paper.... So tired.... Ugh I hate school.....  time to sleep!!!!!!!!!!!	sadness
30	I HATE CANCER. I HATE IT I HATE IT I HATE IT.	worry
31	It is so annoying when she starts typing on her computer in the middle of the night!	hate
32	@cynthia_123 i cant sleep	neutral
33	I missed the bl***y bus!!!!!!!!	neutral
34	feels strong contractions but wants to go out.  http://plurk.com/p/wxidk	neutral
35	SoCal!  stoked. or maybe not.. tomorrow	neutral
36	Screw you @davidbrussee! I only have 3 weeks...	neutral
37	@ether_radio yeah :S i feel all funny cause i haven't slept enough  i woke my mum up cause i was singing she's not impressed :S you?	sadness
38	I need skott right now	worry
39	has work this afternoon	neutral
40	@GABBYiSACTiVE Aw you would not unfollow me would you? Then I would cry	neutral
41	mmm much better day... so far! it's still quite early. last day of #uds	happiness
42	@DavidArchie &lt;3 your gonna be the first  twitter ;) cause your amazing lol. come to canada  would do anything to see you perform	fun
43	just picked up her Blackberry from the middle of the street! Both she and it are crushed!	worry
44	Why do I have the feeling I should be packing and hitting for SFO around this time of the year? I think I'm missing something...	worry
45	@creyes middle school and elem. High schools will remain open for those who need credits to graduate. Cali is broken	empty
46	Bed!!!!!... its time,..... hope i go to school tomorrow, all though i don't feel very well right now	worry
47	@onscrn Ahh.  ... Well, I was hoping that I could learn some stuff on the way. ... Why not you and I work on separate things but also	worry
48	I'm having a problem with my photo here in twitter amf!!!...can't see my face!	sadness
49	@jakeboyd, oh noooo!  if i blow a tire you're reaaaally going to have to send up some batman smoke.	neutral
